Environment Canada
Monthly Values for May - 2007

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Stn_No","Climate station identifier (first 3 digits indicate drainage basin, last 4 characters are for sorting alphabetically)."
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Stn_No"
"SEWALL MASSET INLET","53.764","-132.299","BC","8.2","5",NA,"18.5","5","0.0","5","0.0","5",NA,"70.7","5",NA,"","18","","",NA,"254.9","0.0","105PA91"
"ADDENBROKE ISLAND","51.604","-127.864","BC","10.5","0","-0.2","17.5","0","4.0","0","0.0","0",NA,"245.0","0","151.0","0.0","17","","",NA,"233.8","0.0","1060080"
"BELLA BELLA A","52.185","-128.157","BC","9.6","0",NA,"20.7","0","0.3","0","",,NA,"218.5","0",NA,"","15","",,NA,"261.8","0.0","1060811"
"BELLA COOLA A","52.388","-126.596","BC","11.2","1","-0.9","26.2","1","0.9","1","0.0","1",NA,"74.0","1",NA,"","8","","",NA,"203.2","0.0","1060841"
"BOAT BLUFF","52.643","-128.524","BC","9.8","0","-0.6","20.0","0","4.0","0","0.0","0","0.0","223.4","0","87.0","0.0","18","","",NA,"253.3","0.0","1060901"
"BONILLA ISLAND","53.493","-130.638","BC","9.3","3","-0.3","14.5","3","4.5","3","0.0","3",NA,"67.6","3",NA,"0.0","15","","",NA,"244.1","0.0","1060902"
"BONILLA ISLAND (AUT)","53.500","-130.633","BC","8.3","0",NA,"11.7","0","4.9","0","",,NA,"39.8","2",NA,"","15","",,NA,"300.5","0.0","1060R0K"
"CATHEDRAL POINT (AUT)","52.187","-127.470","BC","10.6","0",NA,"20.2","0","3.7","0","",,NA,"184.0","9",NA,"","10","",,NA,"230.6","0.0","1061458"
"CUMSHEWA ISLAND","53.030","-131.601","BC","8.2","0",NA,"12.5","0","3.6","0","",,NA,"0.0","6",NA,"","0","",,NA,"302.6","0.0","1062251"
"DRYAD POINT","52.185","-128.112","BC","10.6","10","-0.3","19.0","10","3.5","10","0.0","10",NA,"236.1","10",NA,"0.0","11","","",NA,"155.1","0.0","1062544"
